timestamp,open,high,low,close,volume
2022-04-28,86.6700,90.5800,84.7800,89.6400,91495449
2022-04-27,84.2500,87.9000,84.0200,84.9100,83125054
2022-04-26,89.7400,90.1200,85.0800,85.1600,87805574
2022-04-25,89.8600,91.3700,88.6100,90.6900,93481042
2022-04-22,90.0300,91.4600,87.9350,88.1400,75017652
2022-04-21,95.1600,96.2300,89.2400,89.8500,76680635
2022-04-20,97.8400,97.9100,93.2000,94.0200,62322274
2022-04-19,93.3850,97.0700,92.8400,96.9300,77069496
2022-04-18,92.0300,95.1600,91.6400,93.8900,80605752
2022-04-14,98.3700,98.3900,92.9200,93.0600,73354367
2022-04-13,95.3000,98.3300,94.7100,97.7400,77728418
2022-04-12,98.7800,99.5900,94.6000,95.1000,89246449
2022-04-11,98.6000,98.6700,95.9400,97.3700,95527655
2022-04-08,102.5100,102.9900,100.4205,101.0000,92746663
2022-04-07,103.9200,105.2400,100.9100,103.7200,91895526
2022-04-06,104.4500,105.7440,101.7106,103.6700,105256602
2022-04-05,109.6850,110.4800,106.0500,106.8200,79305131
2022-04-04,109.9700,110.9391,107.0300,110.5300,90220034
2022-04-01,110.4800,111.4200,106.1020,108.1900,111867074
2022-03-31,116.3100,116.3800,109.0200,109.3400,147004790
2022-03-30,123.0400,125.6700,118.5900,119.2200,99476946
2022-03-29,122.2800,123.7100,119.5900,123.2300,94143028
2022-03-28,117.7000,120.4100,116.7100,120.2400,92966149
2022-03-25,119.9150,121.4000,117.2533,119.6700,95724592
2022-03-24,114.9600,120.5500,113.7100,120.5300,121961329
2022-03-23,114.2900,117.5500,112.2100,113.9200,90579150
2022-03-22,115.4300,117.9500,113.8100,114.7800,101343582
2022-03-21,113.7300,117.5700,112.5400,115.9200,101182208
2022-03-18,111.2800,114.9300,110.5500,113.4600,105271835
2022-03-17,112.1400,114.2700,109.7100,111.6900,103201695
2022-03-16,111.6000,115.4200,109.8900,115.3700,113689804
2022-03-15,102.6600,109.6900,101.7900,109.3300,112425543
2022-03-14,102.9900,105.2397,101.0400,102.2500,89731676
2022-03-11,108.1300,108.1900,104.0800,104.2900,87584432
2022-03-10,108.8900,109.0700,103.0700,106.4600,102557375
2022-03-09,108.4100,111.7100,106.8500,111.0500,102310329
2022-03-08,102.8100,109.9000,100.0800,105.5300,135348316
2022-03-07,108.5300,109.5300,102.8200,102.9500,92599972
2022-03-04,112.0000,113.0000,106.8100,108.4100,100671339
2022-03-03,118.1300,118.2600,111.0500,111.9800,123916721
2022-03-02,115.4700,119.4800,113.3100,118.2800,118354509
2022-03-01,122.3300,122.4300,112.8000,113.8300,126552244
2022-02-28,120.3100,124.6100,119.2000,123.3400,124666142
2022-02-25,117.1600,121.2300,116.0421,121.0600,127820983
2022-02-24,104.5600,116.9600,104.2600,116.6100,142956572
2022-02-23,117.4000,118.6500,109.0400,109.7600,120299433
2022-02-22,115.2700,119.2000,113.6100,115.6500,141069217
2022-02-18,113.9000,115.6350,109.8900,113.8300,114321231
2022-02-17,116.2600,116.9800,112.2600,112.3700,98179641
2022-02-16,119.0500,119.5400,114.2200,117.6900,119109631
2022-02-15,117.1900,121.8800,114.3600,121.4700,144139671
2022-02-14,115.5100,118.3700,113.4600,114.2700,135146410
2022-02-11,126.1400,127.1699,111.8100,113.1800,164723241
2022-02-10,128.8400,131.7589,124.6100,125.7700,108939859
2022-02-09,129.6000,132.9600,127.6500,132.8500,92948862
2022-02-08,122.3800,128.7050,122.0500,128.2300,84902753
2022-02-07,123.5600,127.6300,122.7850,123.6700,81672504
2022-02-04,120.3400,124.9600,118.5800,123.6000,86212008
2022-02-03,120.3200,125.3700,118.8160,120.0800,103599467
2022-02-02,129.8900,130.0600,120.6400,122.7600,180064993
2022-02-01,116.7500,117.2600,112.7300,116.7800,122467874
2022-01-31,107.9300,114.3100,106.9000,114.2500,97205994
